#AÑO,ECONÓMICA,DENOMINACIÓN,PREVISIONES INICIALES,MODIFICACIONES,PREVISIONES DEFINITIVAS,DERECHOS RECONOCIDOS NETOS
2012,609,Ingresos venta obra y subsuelo,,,,83319.17
2012,380,Reintegro de avales,561091.24,,561091.24,3126.45
2012,112,IBI naturaleza rústica,196560.2,,196560.2,213242.31
2012,113,Impuesto sobre Bienes Inmuebles naturaleza urbana,10447548.2,,10447548.2,10201276.72
2012,115,Impuesto sobre Vehículos de Tracción Mecánica,1936596.14,,1936596.14,1796555.81
2012,116,Impuesto sobre Incremento del Valor de los Terreno,750000.0,,750000.0,683788.8
2012,130,Impuesto sobre Actividades Económicas,443146.95,,443146.95,340198.38
2012,290,Impuesto sobre Construcciones Instalaciones y Obra,326805.15,,326805.15,42702.5
2012,302,Tasa servicio de  recogida de RSU,717587.67,,717587.67,705559.11
2012,309,Tasa Cementerio,180327.16,,180327.16,138182.37
2012,311,Tasa Ayuda a Domicilio,3372.77,,3372.77,5632.52
2012,312,Tasa Servicios Universidad popular y Escuela Veran,28533.43,,28533.43,30431.2
2012,322,Tasa Cédula de Habitabilidad,2300.6,,2300.6,2217.11
2012,326,Tasa retirada y custodia de vehículos,18350.79,,18350.79,6231.1
2012,32901,Tasa licencia animales peligrosos,99.2,,99.2,695.06
2012,32902,Tasa Derechos de Examen,11264.34,,11264.34,19670.63
2012,32903,Tasa Celebración de Bodas,1730.07,,1730.07,3013.79
2012,32904,Tasa Licencia Apertura de Establecimientos,21724.35,,21724.35,32318.41
2012,32905,Tasa Mecado Municipal,61968.1,,61968.1,61029.52
2012,330,Tasa estacionamiento de vehículos,354041.52,,354041.52,275521.1
2012,331,Tasa Vados,342060.56,,342060.56,317499.19
2012,332,"Tasa Ocupación Suelo, Subsuelo y Vuelo",142910.0,,142910.0,297864.01
2012,333,Tasa aprovechamiento especial servicio telecomunic,145000.0,,145000.0,13756.43
2012,335,Tasa Ocupación Mesas y Sillas,13760.37,,13760.37,17722.14
2012,336,Tasa ocupación vía pca con suspensión tráfico,129210.55,,129210.55,78468.64
2012,338,Compensación de Telefónica de España SA,58434.42,,58434.42,72288.47
2012,341,Precio Público Hogar Ancianos,420240.0,,420240.0,411387.84
2012,342,Precio Públicos Cursos Juventud,1000.0,,1000.0,
2012,344,Precio Público Entradas de Espectáculos,1000.0,,1000.0,
2012,389,Otros reintegros de operaciones corrientes,1000.0,1000.0,2000.0,4756.72
2012,392,"Recargos ejecutivos, apremios y otros",154004.39,,154004.39,204010.1
2012,393,Intereses de demora y costas,60853.5,,60853.5,65585.14
2012,603,Patrimonio Público Suelo,1791258.0,,1791258.0,95235.28
2012,619,Enajenación otras inversiones,617650.24,,617650.24,
2012,394,Prestaciones del personal de FACSA,,,,4286.61
2012,39700,Canon por aprovechamienos urbanísticos,,,,4512.33
2012,396,Ingresos por actuaciones de urbanización,,,,7436.7
2012,602,Parcela sobrante de la vía pública,,,,560.32
2012,42100,Transferen. del Servicio Público de Empleo Estatal,,236336.02,236336.02,222151.98
2012,451,Transf.corr. OOAA y agencias GV ( SERVEF),832213.63,30000.0,862213.63,497565.06
2012,599,Otros ingresos patrimoniales,,,,-76976.79
2012,321,Tasa por licencias urbanísticas,,,,15910.0
2012,325,Tasa por la expedición de documentos,,,,5420.0
2012,913,Préstamos a largo plazo fuera del sector público,,1699184.6,1699184.6,8309739.29
2012,680,Reintegro de ejercicios cerrados,,,,
2012,39100,Multas infracciones Urbanísiticas,10000.0,,10000.0,
2012,39120,Multas y Sanciones Ordenanza Circulación,165000.0,,165000.0,271127.29
2012,39901,Recursos eventuales,2801.65,,2801.65,29646.59
2012,42000,Participación en los Tributos del Estado,5685133.96,,5685133.96,5407952.18
2012,42090,Otras Transferencias del Estado,,,,10820.68
2012,450,Transferencias Corrientes de la Generalitat Valenc,1589007.09,67447.33,1656454.42,1540099.05
2012,461,Transferencias corrientes: Diputación,,12990.0,12990.0,1794.0
2012,39190,Otras Multas y Sanciones,25000.0,,25000.0,186392.95
2012,480,Transferencias de instituciones sin fines de lucro,109208.36,5600.0,114808.36,5600.0
2012,520,Intereses en Cuentas,2782.58,,2782.58,1160.66
2012,541,Arrendamientos en Fincas Urbanas,3115.89,,3115.89,4145.48
2012,542,Arrendamiento de fincas rústicas,25000.0,,25000.0,
2012,550,Canon Concesión Agua,51000.0,,51000.0,38250.18
2012,555,Aprovechamientos especiales,7553.0,,7553.0,7553.6
2012,750,Subvenciones capital Generalitat Valenciana,,3400.0,3400.0,4500.0
2012,761,Subvenciones capital Diputación Provincial,,65000.0,65000.0,14614.11
2012,830,Anticipos de Funcionarios y Personal Laboral,60000.0,,60000.0,8339.53
