#DENOMINACIÓN,ORGÁNICA,PROGRAMAS,ECONÓMICA,CRÉDITOS INICIALES,MODIFICACIONES,CRÉDITOS DEFINITIVOS,OBLIGACIONES RECONOCIDAS
Otros suministros diversos,110,432,22199,6000.0,,6000.0,497.31
Atenciones protocolarias: Turismo,110,432,22601,1000.0,,1000.0,3592.96
Publicidad y propaganda: Turismo,110,432,22602,15000.0,3700.0,18700.0,18616.52
Otros contratos servicios: Turismo,110,432,22799,6000.0,,6000.0,2331.0
Aportación patronato provincial turismo,110,432,461,3700.0,-3700.0,,
Sueldos grupo A1: Seg. y orden público,160,132,12000,16926.32,11720.0,28646.32,31845.76
Sueldos grupo A2: Seg. y orden público,160,132,12001,57958.48,,57958.48,57968.08
Sueldos grupo B: Seg. y orden público,160,132,12002,,,,
Sueldos grupo C1: Seg. y orden público,160,132,12003,506527.68,-70.0,506457.68,483207.05
Sueldos grupo C2: Seg. y orden público,160,132,12004,9522.76,2400.0,11922.76,18042.95
Sueldos grupo E: Seg. y orden público,160,132,12005,9419.14,-9000.0,419.14,
Trienios: Seg. y orden público,160,132,12006,89526.72,-3089.24,86437.48,83330.6
Complemento de destio: Seguridad y orden,160,132,12100,299911.32,,299911.32,323991.04
Complemento específico: Seguridad y orden,160,132,12101,721788.34,-33200.0,688588.34,688557.94
Productividad: Seg. y orden público,160,132,150,8000.0,16232.0,24232.0,21069.3
Gratificaciones: Seg. y Orden Público,160,132,151,40000.0,21506.51,61506.51,57026.77
Mobiliario: Seguridad y Orden público,160,132,625,,5000.0,5000.0,4923.33
Aportación Consorcio Prov.Serv.Prev.incendios,160,134,467,189415.46,,189415.46,189415.46
Sueldos grupo A1: Urbanismo,160,151,12000,82230.5,1445.0,83675.5,82309.43
Sueldos grupo A2: Urbanismo,160,151,12001,71274.4,-790.0,70484.4,71249.42
Sueldos grupo C1: Urbanismo,160,151,12003,33429.7,,33429.7,33452.43
Sueldos grupo C2: Urbanismo,160,151,12004,18630.0,,18630.0,18647.73
Sueldos grupo E: Urbanismo,160,151,12005,8315.54,,8315.54,8342.48
Trienios: Urbanismo,160,151,12006,29545.48,,29545.48,29380.01
Complemento de destino: Urbanismo,160,151,12100,110688.48,-340.0,110348.48,110384.81
Complemento especifico: Urbanismo,160,151,12101,218794.52,-640.0,218154.52,218054.48
Productividad: Urbanismo,160,151,150,2000.0,890.16,2890.16,4264.26
Gratificaciones: Urbanismo,160,151,151,,925.0,925.0,719.2
Sueldos grupo A2: Acceso a la vivienda,160,153,12001,14072.36,,14072.36,14072.36
