#AÑO,ECONÓMICA,DENOMINACIÓN,PREVISIONES INICIALES,MODIFICACIONES,PREVISIONES DEFINITIVAS,DERECHOS RECONOCIDOS NETOS
2013,609,Ingresos venta obra y subsuelo,,,,83319.17
2013,380,Reintegro de avales,384331.7,,384331.7,
2013,112,IBI naturaleza rústica,210562.52,,210562.52,206907.64
2013,113,Impuesto sobre Bienes Inmuebles naturaleza urbana,11332486.26,,11332486.26,11372004.01
2013,115,Impuesto sobre Vehículos de Tracción Mecánica,2011951.42,,2011951.42,1858748.11
2013,116,Impuesto sobre Incremento del Valor de los Terreno,1050000.0,,1050000.0,1022931.91
2013,130,Impuesto sobre Actividades Económicas,428194.45,,428194.45,361717.09
2013,290,Impuesto sobre Construcciones Instalaciones y Obra,250000.0,,250000.0,71653.76
2013,302,Tasa servicio de  recogida de RSU,685099.54,,685099.54,691471.62
2013,309,Tasa Cementerio,170000.0,,170000.0,123948.34
2013,311,Tasa Ayuda a Domicilio,2150.0,,2150.0,7617.15
2013,312,Tasa Servicios Universidad popular y Escuela Veran,37093.46,,37093.46,31603.5
2013,322,Tasa Cédula de Habitabilidad,1440.0,,1440.0,2005.04
2013,326,Tasa retirada y custodia de vehículos,4688.0,,4688.0,5952.2
2013,32901,Tasa licencia animales peligrosos,696.0,,696.0,325.34
2013,32902,Tasa Derechos de Examen,31012.5,,31012.5,6533.6
2013,32903,Tasa Celebración de Bodas,2348.0,,2348.0,1076.95
2013,32904,Tasa Licencia Apertura de Establecimientos,22880.0,,22880.0,22522.92
2013,32905,Tasa Mecado Municipal,61029.52,,61029.52,59596.88
2013,330,Tasa estacionamiento de vehículos,354041.52,,354041.52,245308.2
2013,331,Tasa Vados,356250.18,,356250.18,342223.64
2013,332,"Tasa Ocupación Suelo, Subsuelo y Vuelo",120000.0,,120000.0,324727.36
2013,333,Tasa aprovechamiento especial servicio telecomunic,,,,12343.15
2013,335,Tasa Ocupación Mesas y Sillas,15638.0,,15638.0,28298.89
2013,336,Tasa ocupación vía pca con suspensión tráfico,100000.0,,100000.0,18256.33
2013,338,Compensación de Telefónica de España SA,58532.04,,58532.04,32789.62
2013,341,Precio Público Hogar Ancianos,426000.0,,426000.0,427913.83
2013,342,Precio Públicos Cursos Juventud,1000.0,,1000.0,
2013,344,Precio Público Entradas de Espectáculos,1000.0,,1000.0,1000.0
2013,389,Otros reintegros de operaciones corrientes,1000.0,19953.3,20953.3,30184.13
2013,392,"Recargos ejecutivos, apremios y otros",154004.39,,154004.39,194573.48
2013,393,Intereses de demora y costas,60853.5,,60853.5,80456.69
2013,619,Ingresos venta obra y subsuelo,108050.24,169725.0,277775.24,169725.0
2013,39700,Canon por aprovechamienos urbanísticos,4507.6,,4507.6,
2013,396,Ingresos por actuaciones de urbanización,1496.0,,1496.0,
2013,42100,Transferen. del Servicio Público de Empleo Estatal,,236336.02,236336.02,236336.02
2013,451,Transf.corr. OOAA y agencias GV ( SERVEF),62500.0,10799.27,73299.27,196767.79
2013,321,Tasa por licencias urbanísticas,,,,29960.0
2013,325,Tasa por la expedición de documentos,40000.0,,40000.0,8504.05
2013,680,Reintegro de ejercicios cerrados,,,,
2013,39100,Multas infracciones Urbanísiticas,10000.0,,10000.0,-771.87
2013,39120,Multas y Sanciones Ordenanza Circulación,165000.0,,165000.0,259386.84
2013,39901,Recursos eventuales,7170.0,,7170.0,78028.4
2013,42000,Participación en los Tributos del Estado,5467841.61,,5467841.61,6686062.4
2013,42090,Otras Transferencias del Estado,,,,401.54
2013,450,Transferencias Corrientes de la Generalitat Valenc,1405373.07,135481.0,1540854.07,1672774.33
2013,461,Transferencias corrientes: Diputación,,10000.0,10000.0,28489.1
2013,39190,Otras Multas y Sanciones,188400.0,,188400.0,32623.84
2013,480,Transferencias de instituciones sin fines de lucro,86890.44,42430.45,129320.89,202084.14
2013,520,Intereses en Cuentas,9000.0,,9000.0,15103.3
2013,541,Arrendamientos en Fincas Urbanas,3183.88,,3183.88,4477.02
2013,550,Canon Concesión Agua,51000.24,,51000.24,59105.14
2013,555,Aprovechamientos especiales,7553.0,,7553.0,7553.6
2013,750,Subvenciones capital Generalitat Valenciana,80000.0,603.25,80603.25,395290.6
2013,761,Subvenciones capital Diputación Provincial,130000.0,,130000.0,65000.0
2013,830,Anticipos de Funcionarios y Personal Laboral,60000.0,,60000.0,25376.01
2013,339,Otras tasa por utilizacion privativa dominio pub,,,,8330.8
