#DESCRIPCIÓN,Orgánica,Programa ,Económica,Inicial,Modificaciones,Total,TOTAL O
Ret.básicas altos cargos: O.Gobierno,101.0,912.0,10000.0,158406.32,0.0,158406.32,112487.87
Ret.básicas pers.eventual: Organos de gobierno,101.0,912.0,11000.0,31030.9,0.0,31030.9,20300.7
Sueldos grupo A1: Urbanismo,101.0,151.0,12000.0,83425.9,0.0,83425.9,59483.96
Sueldos grupo A1: Hogar Sag.Familia,101.0,23109.0,12000.0,16234.6,0.0,16234.6,0.0
Sueldos Grupo A1: Servicios Sociales,101.0,23111.0,12000.0,66670.4,8539.06,75209.46,49165.66
Sueldos grupo A1: Arqueologia y Patrimonio históri,101.0,336.0,12000.0,16758.96,0.0,16758.96,11967.03
Sueldos grupo A1: Seg. y Orden Público,101.0,132.0,12000.0,17149.98,0.0,17149.98,12180.74
Sueldos grupo A1: Medio Ambiente,101.0,170.0,12000.0,16818.82,0.0,16818.82,11989.56
Sueldos grupo A1: Comercio,101.0,430.0,12000.0,16505.68,0.0,16505.68,0.0
Sueldos grupo A1: Admón. general,101.0,920.0,12000.0,68113.26,0.0,68113.26,48644.03
Sueldos grupo A1: Política ec. y fiscal,101.0,931.0,12000.0,34146.96,0.0,34146.96,24295.66
Sueldos grupo A1: Gestión sistema tributario,101.0,932.0,12000.0,16930.96,0.0,16930.96,12081.53
Sueldos grupo A1:Gtión. deuda y tesorería,101.0,934.0,12000.0,16993.74,0.0,16993.74,10499.85
Funcionarios A1,101.0,330.0,12000.0,16505.68,0.0,16505.68,2504.17
Sueldos grupo A2: Gtión. deuda y tesorería,101.0,934.0,12001.0,14658.68,0.0,14658.68,10412.14
Sueldos grupo A2: Igualdad,101.0,23131.0,12001.0,0.0,8596.77,8596.77,0.0
Sueldos grup A2: Cultura,101.0,330.0,12001.0,43375.8,-3793.69,39582.11,19027.58
Sueldos grupo A2: Arqueologia y patrimonio históri,101.0,336.0,12001.0,14622.86,0.0,14622.86,10388.41
Sueldos grupo A2: Admón. general,101.0,920.0,12001.0,43770.92,-6737.7,37033.22,23865.14
Sueldos grupo A2: Medio Ambiente,101.0,170.0,12001.0,14417.98,0.0,14417.98,10310.49
Sueldos grupo A2: Urbanismo,101.0,151.0,12001.0,72243.56,0.0,72243.56,49996.89
Sueldos grup A2: SEAFI,101.0,23102.0,12001.0,14213.1,-14000.0,213.1,0.0
Sueldos grupo A2: Hogar Sag.Familia,101.0,23109.0,12001.0,78766.46,0.0,78766.46,48576.53
Sueldos grupo A2: Servicios Sociales,101.0,23111.0,12001.0,102651.82,65000.0,167651.82,106563.84
Sueldos grupo A2: ISI pueblo gitano,101.0,23106.0,12001.0,14463.9,0.0,14463.9,10299.77
Sueldos grupo A2: Tercera edad,101.0,23107.0,12001.0,14783.32,0.0,14783.32,10472.73
Sueldos grupo A2: Fomento de empleo,101.0,24110.0,12001.0,29171.28,0.0,29171.28,20575.32
Sueldos grupo A2: Seg. y Orden Público,101.0,132.0,12001.0,58446.46,-4737.7,53708.76,32501.91
Sueldos grupo A2: Acceso a la vivienda,101.0,1521.0,12001.0,14264.32,0.0,14264.32,10201.24
Sueldos grupo A2: Universidad Popular,101.0,23105.0,12001.0,14691.48,0.0,14691.48,10449.7
Sueldos grupo A2: Industria,101.0,422.0,12001.0,14906.96,228.15,15135.11,10566.51
Sueldos grupo A2: Turismo,101.0,432.0,12001.0,14315.54,-8671.85,5643.69,3461.98
Sueldos grupo C1: Cultura,101.0,330.0,12003.0,61746.89,9700.0,71446.89,34953.01
Sueldos grupo C1: Orgaos de gobierno,101.0,912.0,12003.0,11458.22,0.0,11458.22,8068.88
Sueldos grupo C1: Admón. general,101.0,920.0,12003.0,44950.68,0.0,44950.68,40316.87
Sueldos grupo C1: Urbanismo,101.0,151.0,12003.0,34185.68,0.0,34185.68,24562.78
Sueldos grupo C1: Servicios Sociales,101.0,23111.0,12003.0,0.0,0.0,0.0,2689.54
Sueldos grupo C1: Deportes,101.0,340.0,12003.0,11303.1,0.0,11303.1,7594.41
Sueldos grupo C1: Seg. y Orden Público,101.0,132.0,12003.0,545674.94,0.0,545674.94,376275.18
Sueldos grupo C1: Vías Públicas,101.0,1533.0,12003.0,11499.56,0.0,11499.56,8092.89
Sueldos grupo C1: Centre d'esplai i Jove,101.0,23104.0,12003.0,5481.93,1125.59,6607.52,4265.55
Sueldos grupo C1: Política ec. y fiscal,101.0,931.0,12003.0,11426.98,0.0,11426.98,8309.81
Sueldos grupo C1: Gestión sistema tributario,101.0,932.0,12003.0,22676.74,0.0,22676.74,16268.59
Sueldos grupo C2: Gtión. deuda y tesorería,101.0,934.0,12004.0,9582.2,0.0,9582.2,6726.64
Sueldos Grupo C2: Servicios Sociales,101.0,23111.0,12004.0,0.0,0.0,0.0,0.0
Sueldos grupo C2: Educación,101.0,32001.0,12004.0,19168.66,0.0,19168.66,15251.74
Sueldos grupo C2: Cultura,101.0,330.0,12004.0,9575.02,0.0,9575.02,6722.65
Sueldos grupo C2: Comercio,101.0,430.0,12004.0,9618.02,0.0,9618.02,6768.83
Sueldos grupo C2: Turismo,101.0,432.0,12004.0,18913.66,-3086.61,15827.05,6771.71
Sueldos grupo C2: Organos de gobierno,101.0,912.0,12004.0,9655.26,0.0,9655.26,6772.85
Sueldos grupo C2: Admón.general,101.0,920.0,12004.0,96915.5,-1400.0,95515.5,58229.91
Sueldos gurpo C2: Vias Públicas,101.0,1533.0,12004.0,123386.46,0.0,123386.46,84104.33
Sueldos grupo C2: Medio Ambiente,101.0,170.0,12004.0,9824.7,0.0,9824.7,6553.53
Sueldos grupo C2: Urbanismo,101.0,151.0,12004.0,28471.56,0.0,28471.56,20063.27
Sueldos grupo C2: Universidad Popular,101.0,23105.0,12004.0,20739.93,0.0,20739.93,14137.27
Sueldos grupo C2: Hogar Sag.Familia,101.0,23109.0,12004.0,216252.9,3720.94,219973.84,177802.63
Sueldos grupo C2: Inmigración,101.0,23108.0,12004.0,9295.64,0.0,9295.64,6570.3
Sueldos grupo C2:  Agricultura,101.0,410.0,12004.0,19412.22,0.0,19412.22,13320.3
Sueldos grupo C2: Seg. y Orden Público,101.0,132.0,12004.0,18664.34,0.0,18664.34,6621.97
Sueldos grupo C2: Política ec. y fiscal,101.0,931.0,12004.0,18842.02,0.0,18842.02,13199.44
Sueldos grupo C2: Gestión sistema tributario,101.0,932.0,12004.0,28424.22,0.0,28424.22,21748.34
Sueldos grupo E: Educación,101.0,32001.0,12005.0,84132.7,5000.0,89132.7,66727.16
Sueldos grupo E: Cultura,101.0,330.0,12005.0,25278.06,-2698.86,22579.2,11995.68
Sueldos grupo E: Deportes,101.0,340.0,12005.0,81592.06,17634.8,99226.86,68498.91
Sueldos grupo E: Admón.general,101.0,920.0,12005.0,25768.02,0.0,25768.02,18678.44
Sueldos grupo E: Vías Públicas,101.0,1533.0,12005.0,84341.86,1400.0,85741.86,62579.56
Sueldos grupo E: Urbanismo,101.0,151.0,12005.0,8371.58,0.0,8371.58,0.0
Sueldos grupo E: Inmigración,101.0,23108.0,12005.0,8643.78,0.0,8643.78,6026.96
Sueldos grupo E: Hogar Sag.Familia,101.0,23109.0,12005.0,84777.38,0.0,84777.38,75447.52
Sueldos grupo E: CRIS,101.0,23110.0,12005.0,8534.9,-8500.0,34.9,0.0
Sueldos grupo E: Cementerio,101.0,164.0,12005.0,25250.84,0.0,25250.84,17772.91
Sueldos grup E: Albergue Transeuntes,101.0,23101.0,12005.0,8371.58,0.0,8371.58,4546.64
Suedos grupo E: Ayuda a domicilio,101.0,23103.0,12005.0,59172.68,16800.0,75972.68,41476.2
Sueldos grupo E: Comercio,101.0,430.0,12005.0,8426.02,0.0,8426.02,1178.05
Trienios: Gtión. deuda y tesorería,101.0,934.0,12006.0,7695.12,0.0,7695.12,5518.92
Trienios: Igualdad,101.0,23131.0,12006.0,0.0,1407.6,1407.6,0.0
Trienios: Fomento de empleo,101.0,24110.0,12006.0,4319.76,0.0,4319.76,3165.81
Trienios: Educación,101.0,32001.0,12006.0,6887.2,0.0,6887.2,4699.24
Trienios: Cultura,101.0,330.0,12006.0,18511.04,-850.56,17660.48,12394.31
Trienios: Aqueologia y patrimonio histórico,101.0,336.0,12006.0,8764.56,0.0,8764.56,6278.67
Trienios: Deportes,101.0,340.0,12006.0,9356.16,0.0,9356.16,6720.0
Trienios: Agricultura,101.0,410.0,12006.0,8752.66,0.0,8752.66,3954.95
Trienios: Industria,101.0,422.0,12006.0,3792.96,-280.96,3512.0,2854.44
Trienios: Turismo,101.0,432.0,12006.0,3229.44,-280.96,2948.48,2353.6
Trienios: Organos de Gobierno,101.0,912.0,12006.0,5285.52,0.0,5285.52,3977.85
Trienios: Admon.general,101.0,920.0,12006.0,50032.88,0.0,50032.88,36750.48
Trienios: Infovivienda,101.0,1521.0,12006.0,421.44,0.0,421.44,317.16
Trienios: Vías Públicas,101.0,1533.0,12006.0,25957.37,0.0,25957.37,22078.35
Trienios: Cementerio,101.0,164.0,12006.0,816.6,0.0,816.6,614.55
Trienios: Medio Ambiente,101.0,170.0,12006.0,6977.04,0.0,6977.04,3704.4
Trienios: Urbanismo,101.0,151.0,12006.0,39090.62,0.0,39090.62,28695.98
Trienios: SEAFI,101.0,23102.0,12006.0,7065.0,-7000.0,65.0,0.0
Trienios: Ayuda a domicilio,101.0,23103.0,12006.0,3647.48,200.0,3847.48,2429.36
Trienios: Centre d'esplai i Jove,101.0,23104.0,12006.0,212.64,0.0,212.64,120.03
Trienios: Universidad Popular,101.0,23105.0,12006.0,9376.01,0.0,9376.01,2805.98
Trienios: ISI pueblo gitano,101.0,23106.0,12006.0,2004.72,0.0,2004.72,1508.67
Trienios: Tercera edad,101.0,23107.0,12006.0,2786.0,0.0,2786.0,2018.04
Trienios: Inmigración,101.0,23108.0,12006.0,1850.16,0.0,1850.16,1377.96
Trienios: Hogar Sag.Familia,101.0,23109.0,12006.0,34215.33,0.0,34215.33,21339.99
Trienios: CRIS,101.0,23110.0,12006.0,1007.14,0.0,1007.14,0.0
Trienios: Servicios Sociales,101.0,23111.0,12006.0,29813.32,0.0,29813.32,22112.48
Trienios: Seg. y Orden Público,101.0,132.0,12006.0,98291.54,0.0,98291.54,75439.6
Trienios: Comercio,101.0,430.0,12006.0,2713.2,0.0,2713.2,1836.11
Trienios: Política ec. y fiscal,101.0,931.0,12006.0,11519.64,0.0,11519.64,9710.02
Trienios: Gestión sistema tributario,101.0,932.0,12006.0,12930.12,0.0,12930.12,10971.99
Previsión Aumento Retribuciones,101.0,920.0,12009.0,113689.74,0.0,113689.74,0.0
Compl.destino: Comercio,101.0,430.0,12100.0,18570.48,0.0,18570.48,4076.41
Complemento de destino: Urbanismo,101.0,151.0,12100.0,118281.12,0.0,118281.12,85994.85
Complemento de destino: Albergue Traseúntes,101.0,23101.0,12100.0,3696.84,0.0,3696.84,2744.98
Complemento destino:SEAFI,101.0,23102.0,12100.0,11658.64,-11000.0,658.64,0.0
Complemento de destino: Ayuda a domicilio,101.0,23103.0,12100.0,25877.88,23000.0,48877.88,33651.8
Complemento de destino:  Centre d'esplai i jove,101.0,23104.0,12100.0,2664.6,0.0,2664.6,14612.44
